# Range /mm, dE/dx (el) /MeV * cm ** 2 / mg, Ion Energy /MeV / u
2.654501793767756190e+00,4.670685118199125463e-01,9.004771972135784805e-04
2.664062505996160013e+00,4.682261060125127439e-01,9.044393648569437486e-04
2.673665286080094461e+00,4.693865627612250346e-01,9.084189663370386292e-04
2.683310319121293919e+00,4.705498895992109576e-01,9.124160783640589351e-04
2.692997791035964372e+00,4.717160942418838765e-01,9.164307779857339738e-04
2.702727888558350777e+00,4.728851845915948982e-01,9.204631425888077853e-04
2.712500799244346172e+00,4.740571687424068870e-01,9.245132499005319793e-04
2.722316711475101236e+00,4.752320549849603504e-01,9.285811779901641033e-04
2.732175814460660490e+00,4.764098518114296965e-01,9.326670052704722977e-04
2.742078298243603385e+00,4.775905679205741383e-01,9.367708104992464573e-04
2.752024353702715587e+00,4.787742122228824115e-01,9.408926727808173069e-04
2.762014172556661595e+00,4.799607938458145817e-01,9.450326715675808975e-04
2.772047947367679122e+00,4.811503221391407736e-01,9.491908866615273322e-04
2.782125871545298779e+00,4.823428066803810421e-01,9.533673982157844524e-04
2.792248139350066882e+00,4.835382572803451073e-01,9.575622867361583811e-04
2.802414945897290455e+00,4.847366839887748968e-01,9.617756330826879438e-04
2.812626487160797772e+00,4.859380971000921701e-01,9.660075184712010399e-04
2.822882959976718897e+00,4.871425071592508926e-01,9.702580244748820748e-04
2.833184562047274646e+00,4.883499249676999110e-01,9.745272330258434017e-04
2.843531491944594869e+00,4.895603615894524308e-01,9.788152264167057637e-04
2.853923949114535397e+00,4.907738283572667948e-01,9.831220873021810115e-04
2.864362133880533179e+00,4.919903368789433906e-01,9.874478987006705434e-04
2.874846247447464531e+00,4.932098990437336905e-01,9.917927439958623345e-04
2.880919214173774279e+00,4.944325270288654206e-01,9.961567069383385920e-04
2.886161560796254300e+00,4.956582333035320920e-01,1.000539871647190349e-03
2.891426974139609474e+00,4.968870286107171519e-01,1.004942322611639431e-03
2.896715555699153732e+00,4.981189182754509059e-01,1.009364144692666276e-03
2.902027407416787330e+00,4.993539067490774253e-01,1.013805423124646650e-03
2.907362631682961496e+00,5.005919985706017705e-01,1.018266243516992471e-03
2.912721331338654185e+00,5.018331983696516785e-01,1.022746691855805010e-03
2.918103609677352939e+00,5.030775108694991449e-01,1.027246854505530892e-03
2.923509570447040851e+00,5.043249408901451236e-01,1.031766818210625488e-03
2.928939317852203406e+00,5.055754933514694516e-01,1.036306670097227349e-03
