# Range /mm, dE/dx (el) /MeV * cm ** 2 / mg, Ion Energy /MeV / u
4.884424794056574370e+00,8.636557774565334356e-01,2.675120913927553877e-03
4.893339972410664096e+00,8.658016976980136281e-01,2.686891647889559122e-03
4.902294378222505244e+00,8.679529362689213379e-01,2.698714173969551933e-03
4.911288184095872644e+00,8.701095037762756057e-01,2.710588720056761065e-03
4.920321563394010944e+00,8.722714110736464743e-01,2.722515515043144856e-03
4.929394690242976829e+00,8.744386692681469508e-01,2.734494788827803932e-03
4.938507739534994556e+00,8.766112897275711857e-01,2.746526772321412121e-03
4.947660886931828372e+00,8.787892840876629919e-01,2.758611697450669489e-03
4.956854308868164694e+00,8.809726642595325785e-01,2.770749797162766655e-03
4.966088182555017383e+00,8.831614424372201677e-01,2.782941305429884223e-03
4.975362685983142796e+00,8.853556311053989436e-01,2.795186457253693961e-03
4.984677997926470816e+00,8.875552430472377630e-01,2.807485488669896403e-03
4.994034297945546541e+00,8.897602913524058632e-01,2.819838636752764523e-03
5.003431766390999513e+00,8.919707894252408842e-01,2.832246139619717332e-03
5.012870584407012053e+00,8.941867509930677693e-01,2.844708236435907790e-03
5.022350933934817796e+00,8.964081901146812026e-01,2.857225167418833700e-03
5.031872997716202889e+00,8.986351211889878066e-01,2.869797173842969853e-03
5.041436959297031173e+00,9.008675589638153181e-01,2.882424498044411885e-03
5.051043003030785350e+00,9.031055185448886302e-01,2.895107383425558727e-03
5.060691314082111703e+00,9.053490154049749217e-01,2.907846074459792887e-03
5.070382078430400341e+00,9.075980653932050890e-01,2.920640816696201507e-03
5.080115482873361010e+00,9.098526847445665977e-01,2.933491856764305211e-03
5.089891715030630870e+00,9.121128900895816294e-01,2.946399442378813856e-03
5.099710963347385828e+00,9.143786984641582016e-01,2.959363822344399618e-03
5.109573417097974968e+00,9.166501273196356880e-01,2.972385246560496977e-03
5.119479266389567407e+00,9.189271945330084179e-01,2.985463966026110499e-03
5.129428702165819587e+00,9.212099184173478950e-01,2.998600232844665127e-03
5.139421916210555885e+00,9.234983177324154191e-01,3.011794300228859064e-03
5.149459101151460771e+00,9.257924116954687754e-01,3.025046422505541822e-03
5.159540450463795835e+00,9.280922199922745364e-01,3.038356855120623486e-03
5.169666158474131912e+00,9.303977627883203150e-01,3.051725854643996122e-03
5.179836420364086536e+00,9.327090607402317435e-01,3.065153678774476011e-03
5.190051432174095147e+00,9.350261350074056121e-01,3.078640586344776227e-03
5.200311390807183187e+00,9.373490072638483994e-01,3.092186837326492670e-03
5.210616494032764834e+00,9.396776997102358475e-01,3.105792692835112646e-03
5.220966940490455954e+00,9.420122350861930283e-01,3.119458415135057273e-03
5.231362929693899488e+00,9.443526361525578228e-01,3.133184267644723887e-03
5.241804662034614815e+00,9.466989180975747820e-01,3.146970514941576594e-03
5.252292338785859549e+00,9.490510900920851034e-01,3.160817422767237678e-03
5.262826162106508221e+00,9.514091613261388414e-01,3.174725258032613275e-03
5.273406335044949600e+00,9.537731411795615788e-01,3.188694288823037265e-03
5.284033061543000898e+00,9.561430392280436674e-01,3.202724784403439447e-03
5.294706546439840622e+00,9.585188652493559225e-01,3.216817015223537995e-03
5.305426995475949425e+00,9.609006292296871088e-01,3.230971252923043636e-03
5.316194615297088255e+00,9.632883413701227582e-01,3.245187770336909784e-03
5.327009613458269399e+00,9.656820120932407825e-01,3.259466841500578780e-03
5.337872198427767501e+00,9.680816520498557454e-01,3.273808741655272365e-03
5.348782579591131459e+00,9.704872721258863688e-01,3.288213747253294298e-03
5.359740967255221200e+00,9.728988834493708104e-01,3.302682135963358988e-03
5.370747572652265767e+00,9.753164973976192753e-01,3.317214186675945288e-03
5.381802607943928507e+00,9.777401256045077371e-01,3.331810179508668066e-03
5.392906286225402468e+00,9.801697799679227607e-01,3.346470395811684904e-03
5.404058821529513779e+00,9.826054726573467679e-01,3.361195118173111035e-03
5.415260428830851680e+00,9.850472161216021760e-01,3.375984630424475053e-03
5.426511324049906548e+00,9.874950230967398657e-01,3.390839217646180685e-03
5.437811724057238116e+00,9.899489066140907401e-01,3.405759166173011939e-03
5.449161846677650800e+00,9.924088800084700512e-01,3.420744763599645188e-03
5.460561910694396559e+00,9.948749569265434856e-01,3.435796298786194213e-03
5.472012135853390191e+00,9.973471513353595608e-01,3.450914061863782131e-03
5.483512742867443279e+00,9.998254775310433384e-01,3.466098344240128946e-03
5.495063953420519454e+00,1.002309950147660889e+00,3.481349438605167712e-03
5.506665990172013636e+00,1.004800584166257726e+00,3.496667638936694963e-03
5.518319076761034836e+00,1.007297394924066225e+00,3.512053240506029378e-03
5.530023437810719145e+00,1.009800398123894993e+00,3.527506539883702111e-03
5.541779298932566711e+00,1.012309609843694780e+00,3.543027834945181812e-03
5.553586886730782268e+00,1.014825046546310228e+00,3.558617424876610921e-03
5.565446428806645862e+00,1.017346725089415926e+00,3.574275610180572323e-03
5.577358153762902226e+00,1.019874662735639204e+00,3.590002692681883330e-03
5.589322291208164373e+00,1.022408877162882090e+00,3.605798975533414802e-03
5.601339071761339383e+00,1.024949386474828472e+00,3.621664763221928065e-03
5.613408727056077296e+00,1.027496209211658407e+00,3.637600361573956921e-03
5.625531489745230651e+00,1.030049364360958286e+00,3.653606077761685327e-03
5.637707593505344228e+00,1.032608871368840830e+00,3.669682220308887084e-03
5.649937273041158114e+00,1.035174750151266032e+00,3.685829099096859466e-03
5.662220764090128533e+00,1.037747021105581258e+00,3.702047025370401503e-03
5.674558303426976202e+00,1.040325705122270961e+00,3.718336311743813093e-03
5.686950128868248022e+00,1.042910823596927328e+00,3.734697272206921430e-03
5.699396479276902738e+00,1.045502398441792824e+00,3.751130222131132588e-03
5.711897594566909042e+00,1.048100449641739207e+00,3.767635478275505653e-03
5.724453715707882751e+00,1.050704989598930883e+00,3.784213358792872829e-03
5.737065084729717768e+00,1.053316029341155868e+00,3.800864183235952605e-03
5.749731944727260569e+00,1.055933580136035221e+00,3.817588272563526234e-03
5.762454539864995340e+00,1.058557653498351181e+00,3.834385949146617255e-03
5.775233115381744220e+00,1.061188261197521632e+00,3.851257536774703970e-03
5.788067917595402179e+00,1.063825415265230001e+00,3.868203360661964883e-03
5.800959193907679889e+00,1.066469128003203037e+00,3.885223747453543652e-03
5.813907192808875024e+00,1.069119411991151569e+00,3.902319025231850043e-03
5.826912163882657758e+00,1.071776280094860034e+00,3.919489523522874316e-03
5.839974357810892691e+00,1.074439745474447205e+00,3.936735573302555836e-03
5.853094026378454551e+00,1.077109821592782124e+00,3.954057507003142999e-03
5.866271422478096298e+00,1.079786522224075007e+00,3.971455658519618646e-03
5.879506800115319010e+00,1.082469861462630023e+00,3.988930363216127220e-03
5.892800414413263077e+00,1.085159853731772150e+00,4.006481957932437471e-03
5.906152521617633155e+00,1.087856513792953894e+00,4.024110780990443337e-03
5.919563379101633771e+00,1.090559856755030754e+00,4.041817172200678696e-03
5.933033245370925357e+00,1.093269898083726099e+00,4.059601472868863345e-03
5.946562380068622922e+00,1.095986653611275674e+00,4.077464025802499288e-03
5.960151043980284058e+00,1.098710139546257514e+00,4.095405175317460948e-03
5.973799499038943139e+00,1.101440372483614816e+00,4.113425267244635690e-03
5.987508008330160614e+00,1.104177369414869769e+00,4.131524648936599035e-03
6.001276836097093614e+00,1.106921147738534561e+00,4.149703669274301156e-03
6.015106247745588774e+00,1.109671725270721110e+00,4.167962678673795864e-03
6.028996509849297247e+00,1.112429120255951531e+00,4.186302029092991289e-03
6.042947890154819035e+00,1.115193351378178210e+00,4.204722074038443058e-03
6.056960657586850871e+00,1.117964437772009934e+00,4.223223168572153539e-03
6.071035082253388282e+00,1.120742399034151848e+00,4.241805669318433544e-03
6.085171435450911659e+00,1.123527255235060363e+00,4.260469934470758821e-03
6.099369989669636283e+00,1.126319026930820533e+00,4.279216323798689867e-03
6.113631018598749911e+00,1.129117735175242165e+00,4.298045198654800413e-03
6.127954797131694775e+00,1.131923401532185958e+00,4.316956921981640605e-03
6.142341601371464677e+00,1.134736048088117677e+00,4.335951858318734878e-03
6.156791708635926952e+00,1.137555697464900373e+00,4.355030373809611922e-03
6.171305397463171083e+00,1.140382372832817959e+00,4.374192836208857203e-03
6.185882947616868854e+00,1.143216096208354182e+00,4.393439614889202774e-03
6.200524640091680695e+00,1.146056882301296875e+00,4.412771080848651786e-03
6.215230757118659355e+00,1.148904743920128979e+00,4.432187606717623816e-03
6.230001582170698882e+00,1.151759694158517977e+00,4.451689566766142692e-03
6.244837399967993363e+00,1.154621746403901472e+00,4.471277336911046868e-03
6.259738496483528536e+00,1.157490914346104294e+00,4.490951294723239708e-03
6.274705158948593819e+00,1.160367211986120584e+00,4.510711819434963174e-03
6.289737675858313892e+00,1.163250653645076405e+00,4.530559291947107957e-03
6.304836336977221123e+00,1.166141253973368208e+00,4.550494094836564363e-03
6.320001433344824449e+00,1.169039027959978494e+00,4.570516612363579277e-03
6.335233257281236874e+00,1.171943990941982872e+00,4.590627230479185118e-03
6.350532102392792311e+00,1.174856158614232982e+00,4.610826336832614912e-03
6.365898263577726368e+00,1.177775547039240589e+00,4.631114320778799767e-03
6.381332037031842042e+00,1.180702172657245752e+00,4.651491573385856809e-03
6.396833720254226030e+00,1.183636052296483054e+00,4.671958487442630890e-03
6.412403612052988144e+00,1.186577203183653006e+00,4.692515457466271862e-03
6.428042012551012263e+00,1.189525642954583962e+00,4.713162879709831797e-03
6.443749223191744591e+00,1.192481389665113856e+00,4.733901152169902975e-03
6.459525546745009450e+00,1.195444461802169123e+00,4.754730674594298372e-03
6.475371287312841062e+00,1.198414878295064323e+00,4.775651848489752098e-03
6.491286750335339306e+00,1.201392658527012269e+00,4.796665077129650193e-03
6.507272242596569889e+00,1.204377822346858862e+00,4.817770765561820399e-03
6.523328072230469843e+00,1.207370390081036637e+00,4.838969320616327147e-03
6.539454548726789440e+00,1.210370382545748136e+00,4.860261150913320304e-03
6.555651982937055422e+00,1.213377821059377304e+00,4.881646666870907356e-03
6.571920687080567092e+00,1.216392727455138489e+00,4.903126280713069815e-03
6.588260974750406618e+00,1.219415124093958136e+00,4.924700406477596978e-03
6.604673160919499963e+00,1.222445033877606058e+00,4.946369460024089074e-03
6.621157561946665382e+00,1.225482480262064522e+00,4.968133859041945662e-03
6.637714495582731189e+00,1.228527487271153351e+00,4.989994023058440774e-03
6.654344280976653536e+00,1.231580079188643762e+00,5.011950373446799785e-03
6.671047238681666158e+00,1.234640274768904478e+00,5.034003333434317919e-03
6.687823690661461207e+00,1.237708087712960703e+00,5.056153328110524724e-03
6.704673960296396729e+00,1.240783531833577813e+00,5.078400784435378040e-03
6.721598372389725462e+00,1.243866621253103766e+00,5.100746131247483987e-03
6.738597253173862711e+00,1.246957370412626442e+00,5.123189799272379399e-03
6.755670930316668432e+00,1.250055794081307958e+00,5.145732221130821203e-03
6.772819732927771064e+00,1.253161907365910155e+00,5.168373831347135641e-03
6.790043991564895798e+00,1.256275725720507053e+00,5.191115066357578772e-03
6.807344038240256801e+00,1.259397264956389151e+00,5.213956364518768961e-03
6.824720206426944102e+00,1.262526541252167345e+00,5.236898166116122841e-03
6.842172831065351346e+00,1.265663571164067358e+00,5.259940913372345046e-03
6.859702248569641725e+00,1.268808371636437560e+00,5.283085050455958720e-03
6.877088135689861659e+00,1.271960960012449959e+00,5.306331023489852493e-03
6.889704928578252563e+00,1.275121354045023248e+00,5.329679280559898591e-03
6.902377236307774666e+00,1.278289571907947009e+00,5.353130271723576146e-03
6.915105303147920601e+00,1.281465632207226202e+00,5.376684449018655221e-03
6.927889374442983694e+00,1.284649553992646354e+00,5.400342266471899050e-03
6.940729696616794620e+00,1.287841356769559908e+00,5.424104180107828729e-03
6.953626517177466049e+00,1.291041060510899507e+00,5.447970647957505255e-03
6.966580084722167499e+00,1.294248685669420640e+00,5.471942130067367072e-03
6.979590648941909059e+00,1.297464253190180994e+00,5.496019088508078895e-03
6.992658460626365091e+00,1.300687784523254065e+00,5.520201987383462940e-03
7.005783771668699700e+00,1.303919301636688344e+00,5.544491292839426669e-03
7.018966835070431287e+00,1.307158827029710313e+00,5.568887473072959941e-03
7.032207904946301547e+00,1.310406383746174575e+00,5.593390998341152970e-03
7.045507236529171102e+00,1.313661995388273773e+00,5.618002340970255915e-03
7.058865086174950676e+00,1.316925685573382410e+00,5.642721975364799192e-03
7.072281711367535806e+00,1.320197473022676427e+00,5.667550378016725059e-03
7.085757370723769988e+00,1.323477373792925516e+00,5.692488027514580780e-03
7.099292323998426468e+00,1.326765404276451843e+00,5.717535404552727407e-03
7.112886832089223788e+00,1.330061581245950642e+00,5.742692991940630091e-03
7.126541157041849317e+00,1.333365921865216297e+00,5.767961274612146659e-03
7.140255562055012106e+00,1.336678443700082042e+00,5.793340739634883843e-03
7.154030311485509941e+00,1.339999164729573256e+00,5.818831876219575198e-03
7.167865670853336368e+00,1.343328103357278369e+00,5.844435175729525804e-03
7.181761906846791277e+00,1.346665278422944034e+00,5.870151131690073444e-03
7.195719287327622560e+00,1.350010709214290117e+00,5.895980239798104434e-03
7.209738081336192650e+00,1.353364415479061833e+00,5.921922997931613683e-03
7.223818559096654823e+00,1.356726417437302823e+00,5.947979906159284701e-03
7.237960992022176576e+00,1.360096735793880685e+00,5.974151466750154613e-03
7.252165652720161226e+00,1.363475391751234334e+00,6.000438184183273099e-03
7.266432814997506817e+00,1.366862407022384041e+00,6.026840565157445470e-03
7.280762753865875681e+00,1.370257803844175948e+00,6.053359118600974871e-03
7.295155745547011961e+00,1.373661604990785490e+00,6.079994355681500769e-03
7.309612067478048480e+00,1.377073833787478163e+00,6.106746789815833097e-03
7.324131998316866898e+00,1.380494514124624095e+00,6.133616936679856663e-03
7.338715817947465858e+00,1.383923670471988610e+00,6.160605314218470241e-03
7.353363807485346904e+00,1.387361327893279483e+00,6.187712442655561237e-03
7.368076249282948353e+00,1.390807512060979967e+00,6.214938844504051471e-03
7.382853426935079177e+00,1.394262249271450038e+00,6.242285044575953366e-03
7.397695625284387511e+00,1.397725565735383757e+00,6.269751569992497268e-03
7.412603130426845155e+00,1.401197481237707931e+00,6.297338950194275239e-03
7.427576229717274714e+00,1.404678012040863289e+00,6.325047716951470722e-03
7.442615211774877615e+00,1.408167174734125116e+00,6.352878404374089072e-03
7.457720366488804764e+00,1.411664986287544776e+00,6.380831548922265284e-03
7.472891985023736083e+00,1.415171464062896289e+00,6.408907689416589934e-03
7.488130359825504456e+00,1.418686625824846503e+00,6.437107367048514051e-03
7.503435784626720562e+00,1.422210489752339102e+00,6.465431125390767864e-03
7.518808554452444781e+00,1.425743074450209313e+00,6.493879510407844606e-03
7.534248965625870653e+00,1.429284398961019331e+00,6.522453070466524214e-03
7.549757315774031419e+00,1.432834482777131102e+00,6.551152356346433454e-03
7.565333903833543872e+00,1.436393345853013592e+00,6.579977921250676313e-03
7.580979030056371748e+00,1.439961008617783866e+00,6.608930320816497339e-03
7.596692996015607768e+00,1.443537491988002852e+00,6.638010113125982284e-03
7.612476104611284988e+00,1.447122817380702031e+00,6.667217858716813390e-03
7.628328660076226342e+00,1.450717006726678804e+00,6.696554120593093198e-03
7.644250967981897738e+00,1.454320082484035659e+00,6.726019464236175291e-03
7.660243335244306451e+00,1.457932067651981578e+00,6.755614457615584378e-03
7.676306070129906622e+00,1.461552985784900560e+00,6.785339671199939852e-03
7.692439482261555384e+00,1.465182861006681270e+00,6.815195677967976484e-03
7.708643882624468979e+00,1.468821718025330014e+00,6.845183053419576398e-03
7.724919583572223303e+00,1.472469582147848843e+00,6.875302375586862628e-03
7.741266898832778409e+00,1.476126477990111763e+00,6.905554225045349923e-03
7.757686143514511024e+00,1.479792425662927569e+00,6.935939184925116359e-03
7.774177634112306556e+00,1.483467444506711530e+00,6.966457840922067775e-03
7.790741688513649343e+00,1.487151554316855417e+00,6.997110781309209999e-03
7.807378626004755517e+00,1.490844775356270135e+00,7.027898596948004353e-03
7.824088767276716538e+00,1.494547128368179489e+00,7.058821881299729220e-03
7.840872434431696014e+00,1.498258634589159533e+00,7.089881230436950905e-03
7.857729950989131851e+00,1.501979315762430600e+00,7.121077243055000568e-03
7.874661641891966823e+00,1.505709194151408692e+00,7.152410520483506659e-03
7.891667833512924446e+00,1.509448292553514204e+00,7.183881666698003696e-03
7.908748853660782174e+00,1.513196634314251110e+00,7.215491288331547966e-03
7.925905031586711225e+00,1.516954243341551489e+00,7.247239994686441658e-03
7.943136697990607509e+00,1.520721144120398272e+00,7.279128397745956991e-03
7.960444185027474084e+00,1.524497361727722211e+00,7.311157112186143607e-03
7.977827826313816928e+00,1.528282921847587295e+00,7.343326755387661990e-03
7.995287956934083340e+00,1.532077850786659257e+00,7.375637947447703617e-03
8.012824913447117225e+00,1.535882175489970525e+00,7.408091311191930192e-03
8.030439033892648126e+00,1.539695923556982926e+00,7.440687472186490077e-03
8.048130657797798904e+00,1.543519123257945935e+00,7.473427058750055536e-03
8.065900126183647600e+00,1.547351803533909331e+00,7.506310701965961465e-03
8.083747781571782198e+00,1.551193990060642847e+00,7.539339035694351925e-03
8.101673967990915770e+00,1.555045700001943532e+00,7.572512696584404734e-03
8.119679030983515844e+00,1.558906949634334183e+00,7.605832324086606380e-03
8.137763317612456859e+00,1.562777755602007712e+00,7.639298560465060742e-03
8.155927176467718809e+00,1.566658134927958690e+00,7.672912050809894968e-03
8.174170957673105420e+00,1.570548105025330266e+00,7.706673443049675762e-03
8.192495012892994311e+00,1.574447683708992685e+00,7.740583387963910662e-03
8.210899695339101356e+00,1.578356889207353619e+00,7.774642539195573618e-03
8.229385359777312559e+00,1.582275740174402312e+00,7.808851553263729435e-03
8.247952362534505255e+00,1.586204255701993526e+00,7.843211089576168638e-03
8.266601061505427950e+00,1.590142455332379745e+00,7.877721810442136000e-03
8.285331816159580143e+00,1.594090359070980956e+00,7.912384381085069487e-03
8.304144987548166768e+00,1.598047987399415337e+00,7.947199469655457163e-03
8.323040938311040193e+00,1.602015361288784412e+00,7.982167747243688882e-03
8.342020032683695518e+00,1.605992502213212880e+00,8.017289887893011210e-03
8.361082636504296062e+00,1.609979432163658242e+00,8.052566568612511827e-03
8.380229117220711288e+00,1.613976173661986202e+00,8.087998469390154238e-03
8.399459843897616906e+00,1.617982749775320528e+00,8.123586273205916572e-03
8.418775187223598522e+00,1.621999184130672678e+00,8.159330666044937314e-03
8.438175519518301471e+00,1.626025500929848988e+00,8.195232336910744306e-03
8.457661214739600197e+00,1.630061724964645409e+00,8.231291977838516710e-03
8.477232648490817368e+00,1.634107881632340664e+00,8.267510283908457991e-03
8.496890198027957197e+00,1.638163996951476964e+00,8.303887953259170632e-03
8.516634242266977850e+00,1.642230097577945802e+00,8.340425687101119326e-03
8.536465161791101153e+00,1.646306210821382621e+00,8.377124189730153145e-03
8.556383338858132959e+00,1.650392364661866118e+00,8.413984168541065872e-03
8.576389157407851016e+00,1.654488587766940189e+00,8.451006334041246543e-03
8.596483003069396389e+00,1.658594909508954274e+00,8.488191399864375083e-03
8.616665263168709288e+00,1.662711359982730341e+00,8.525540082784173468e-03
8.636936326735982661e+00,1.666837970023559379e+00,8.563053102728207175e-03
8.657296584513185067e+00,1.670974771225543831e+00,8.600731182791795937e-03
8.677746428961569336e+00,1.675121795960272664e+00,8.638575049251922752e-03
8.698286254269257611e+00,1.679279077395849473e+00,8.676585431581253921e-03
8.718916456358815736e+00,1.683446649516275873e+00,8.714763062462174692e-03
8.739637432894911129e+00,1.687624547139543463e+00,8.753108677800941137e-03
8.760449583291958220e+00,1.691812801987077952e+00,8.791623016741849372e-03
8.781353308721829620e+00,1.696011434048500410e+00,8.830306821681484578e-03
8.802349012121585048e+00,1.700220461306338748e+00,8.869160838283039403e-03
8.823437098201230455e+00,1.704439902149962105e+00,8.908185815490667070e-03
8.844617973451532222e+00,1.708669775387809953e+00,8.947382505543942030e-03
8.865892046151845562e+00,1.712910100259859014e+00,8.986751663992348371e-03
8.884743423491148206e+00,1.717160896450348417e+00,9.026294049709849762e-03
8.901167898797684330e+00,1.721422184100748876e+00,9.066010424909497559e-03
8.917664643035427829e+00,1.725693983823004540e+00,9.105901555158149932e-03
8.934233974193130479e+00,1.729976316713019990e+00,9.145968209391215284e-03
8.950876211658721715e+00,1.734269204364431216e+00,9.186211159927482398e-03
8.967591676225456609e+00,1.738572668882635508e+00,9.226631182483981813e-03
8.984380690098110023e+00,1.742886732899105118e+00,9.267229056190973840e-03
9.001243576899179644e+00,1.747211419585977588e+00,9.308005563606946975e-03
9.018180661675126331e+00,1.751546752670933627e+00,9.348961490733704791e-03
9.035192270902644651e+00,1.755892756452364978e+00,9.390097627031525687e-03
9.052278732494942304e+00,1.760249455814830277e+00,9.431414765434355599e-03
9.069440375808074606e+00,1.764616876244824439e+00,9.472913702365123867e-03
9.086677531647291417e+00,1.768995043846840698e+00,9.514595237751078197e-03
9.103990532273408931e+00,1.773383985359747061e+00,9.556460175039209817e-03
9.121379711409211666e+00,1.777783728173472966e+00,9.598509321211723747e-03
9.138845404245893533e+00,1.782194300346027882e+00,9.640743486801621812e-03
9.156387947449513121e+00,1.786615730620828346e+00,9.683163485908304752e-03
9.174007679167491602e+00,1.791048048444370711e+00,9.725770136213280140e-03
9.191704939035114208e+00,1.795491283984227637e+00,9.768564258995910202e-03
9.209480068182092083e+00,1.799945468147395422e+00,9.811546679149241168e-03
9.227333409239134809e+00,1.804410632598982378e+00,9.854718225195924566e-03
9.245265306344547795e+00,1.808886809781252936e+00,9.898079729304164534e-03
9.263276105150879403e+00,1.813374032933028346e+00,9.941632027303779623e-03
9.281366152831562744e+00,1.817872336109452425e+00,9.985375958702281951e-03
9.299535798087630312e+00,1.822381753404136884e+00,1.002931236670109860e-02
9.317785391154423280e+00,1.826902310408444308e+00,1.007344209821180343e-02
9.336115283808345211e+00,1.831434027258074249e+00,1.011776600387244429e-02
9.354525829373638857e+00,1.835976924451272474e+00,1.016228493806392921e-02
9.373017382729202041e+00,1.840531022961537477e+00,1.020699975892652364e-02
9.391590300315428408e+00,1.845096344251513809e+00,1.025191132837636326e-02
9.410244940141076597e+00,1.849672910287156746e+00,1.029702051212208827e-02
9.428981661790167834e+00,1.854260743552179624e+00,1.034232817968152099e-02
9.447800826428919052e+00,1.858859867062788052e+00,1.038783520439841637e-02
9.466702796812711540e+00,1.863470304382705445e+00,1.043354246345932178e-02
9.485687937293072025e+00,1.868092079638495662e+00,1.047945083791046450e-02
9.504756613824707046e+00,1.872725217535179398e+00,1.052556121267474859e-02
9.523909193972544429e+00,1.877369743372163891e+00,1.057187447656879158e-02
9.543146046918829839e+00,1.882025683059482590e+00,1.061839152232008435e-02
9.562467543470241083e+00,1.886693063134345483e+00,1.066511324658418400e-02
9.581874056065027290e+00,1.891371910778016474e+00,1.071204054996199861e-02
9.601365958780197829e+00,1.896062253833011191e+00,1.075917433701714145e-02
9.620943627338728987e+00,1.900764120820633396e+00,1.080651551629338222e-02
9.640607439116804400e+00,1.905477540958843807e+00,1.085406500033215052e-02
9.660357773151094563e+00,1.910202544180473083e+00,1.090182370569012758e-02
9.680195010146061207e+00,1.914939161151785196e+00,1.094979255295691623e-02
9.700119532481283002e+00,1.919687423291390083e+00,1.099797246677276449e-02
9.720131724218854075e+00,1.924447362789520888e+00,1.104636437584643159e-02
9.740231971110757669e+00,1.929219012627677809e+00,1.109496921297305205e-02
9.760420660606325072e+00,1.934002406598642088e+00,1.114378791505213871e-02
9.780698181859682094e+00,1.938797579326861920e+00,1.119282142310561515e-02
9.801064925737273725e+00,1.943604566289236280e+00,1.124207068229599212e-02
9.821521284825379894e+00,1.948423402308711472e+00,1.129153664194455439e-02
9.842067653437693409e+00,1.953254113033453532e+00,1.134122025554968119e-02
9.862704427622917436e+00,1.958096720673590418e+00,1.139112248080521514e-02
9.883432005172391399e+00,1.962951247947528399e+00,1.144124427961890761e-02
9.904250785627775500e+00,1.967817718107620628e+00,1.149158661813099759e-02
9.925161170288740564e+00,1.972696154955500436e+00,1.154215046673280620e-02
9.946163562220709409e+00,1.977586582857728148e+00,1.159293680008545435e-02
9.967258366262614189e+00,1.982489026761740103e+00,1.164394659713862898e-02
9.988445989034715922e+00,1.987403512212115864e+00,1.169518084114948980e-02
1.000972683894643822e+01,1.992330065367164282e+00,1.174664051970159169e-02
1.003110132620423123e+01,1.997268713015831976e+00,1.179832662472394059e-02
1.005256986281948350e+01,2.002219482594944644e+00,1.185024015251008242e-02
1.007413286261646945e+01,2.007182402206786342e+00,1.190238210373735853e-02
1.009579074124031983e+01,2.012157500637011154e+00,1.195475348348614894e-02
1.011754391616503312e+01,2.017144807372916571e+00,1.200735530125926660e-02
1.013939280670153309e+01,2.022144352622052832e+00,1.206018857100142269e-02
1.016133783400572810e+01,2.027156167331202852e+00,1.211325431111873879e-02
1.018337942108665928e+01,2.032180283205725413e+00,1.216655354449842213e-02
1.020551799281463090e+01,2.037216732729262070e+00,1.222008729852845296e-02
1.022775397592941360e+01,2.042265549183827744e+00,1.227385660511740202e-02
1.025008779904846001e+01,2.047326766670280573e+00,1.232786250071429661e-02
1.027251989267517551e+01,2.052400420129181668e+00,1.238210602632863928e-02
1.029505068920721378e+01,2.057486545362053665e+00,1.243658822755044566e-02
1.031768062294480792e+01,2.062585179053034956e+00,1.249131015457040882e-02
1.034041013009914423e+01,2.067696357344289915e+00,1.254627286220012794e-02
1.036323964880077497e+01,2.072820107833658554e+00,1.260147740989246701e-02
1.038616961910805969e+01,2.077956454996149116e+00,1.265692486176195862e-02
1.040920048301564194e+01,2.083105423875091677e+00,1.271261628660531884e-02
1.043233268446298645e+01,2.088267040108188866e+00,1.276855275792205570e-02
1.045556666934290924e+01,2.093441329944303320e+00,1.282473535393513497e-02
1.047890288551019999e+01,2.098628320260589764e+00,1.288116515761180900e-02
1.050234178279024277e+01,2.103828038579953930e+00,1.293784325668445936e-02
1.052588381298768638e+01,2.109040513088855207e+00,1.299477074367157668e-02
1.054952942989514852e+01,2.114265772655461006e+00,1.305194871589880103e-02
1.057327908930197324e+01,2.119503846848153295e+00,1.310937827552009771e-02
1.059713324900301146e+01,2.124754765954393942e+00,1.316706052953899898e-02
1.062109236880744945e+01,2.130018560999958233e+00,1.322499658982992723e-02
1.064515691054766755e+01,2.135295263768539176e+00,1.328318757315964660e-02
1.066932733808813261e+01,2.140584906821726641e+00,1.334163460120875444e-02
1.069360411733436500e+01,2.145887523519379503e+00,1.340033880059335325e-02
1.071798771624189683e+01,2.151203148040377933e+00,1.345930130288673643e-02
1.074247860482530470e+01,2.156531815403782915e+00,1.351852324464120417e-02
1.076707725516725489e+01,2.161873561490388784e+00,1.357800576740995392e-02
1.079178414142762499e+01,2.167228423064701204e+00,1.363775001776913222e-02
1.081659973985262546e+01,2.172596437797313484e+00,1.369775714733989166e-02
1.084152452878398876e+01,2.177977644280897351e+00,1.375802831281061275e-02
1.086655898866818148e+01,2.183372077835252334e+00,1.381856467595917771e-02
1.088869437587143096e+01,2.188779763161038172e+00,1.387936740367539182e-02
1.090893813170834470e+01,2.194200723608043635e+00,1.394043766798345671e-02
1.092927096159911038e+01,2.199634983072058070e+00,1.400177664606458081e-02
1.094969325747629263e+01,2.205082566011069112e+00,1.406338552027965039e-02
1.097020541299697882e+01,2.210543497461782358e+00,1.412526547819202040e-02
1.099080782355038721e+01,2.216017803056474555e+00,1.418741771259042495e-02
1.101150088626547507e+01,2.221505509040185622e+00,1.424984342151195890e-02
1.103228500001859658e+01,2.227006642288241078e+00,1.431254380826517403e-02
1.105316056544119263e+01,2.232521230324138184e+00,1.437552008145324967e-02
1.107412798492751094e+01,2.238049301337773134e+00,1.443877345499733691e-02
1.109518766264236689e+01,2.243590884204031966e+00,1.450230514815991668e-02
1.111634000452893289e+01,2.249146008501751393e+00,1.456611638556832601e-02
