# Range /cm, dE/dx /MeV / cm, Ion Energy /MeV
1.276999999999999913e+00,1.166368367692471875e-01,1.099999999999999728e-01
1.363999999999999879e+00,1.141448602917684851e-01,1.199999999999999817e-01
1.451999999999999957e+00,1.114927677782312221e-01,1.299999999999999767e-01
1.541999999999999815e+00,1.087797442863209646e-01,1.399999999999999856e-01
1.635000000000000009e+00,1.060551899573953655e-01,1.499999999999999667e-01
1.729999999999999760e+00,1.033685794053868651e-01,1.599999999999999756e-01
1.827999999999999847e+00,1.007446375251659365e-01,1.699999999999999567e-01
1.927999999999999936e+00,9.820808921160303906e-02,1.799999999999999656e-01
2.135999999999999677e+00,9.339687539415157669e-02,1.999999999999999556e-01
2.411999999999999922e+00,8.791524704525588430e-02,2.249999999999999500e-01
2.703999999999999737e+00,8.299361522340312214e-02,2.499999999999999445e-01
3.012999999999999901e+00,7.860679578617756069e-02,2.749999999999999667e-01
3.337999999999999634e+00,7.465521890092322033e-02,2.999999999999999334e-01
3.680999999999999606e+00,7.111387419456589865e-02,3.249999999999999556e-01
4.040000000000000036e+00,6.789576528751374573e-02,3.499999999999999223e-01
4.415999999999999481e+00,6.498838078718173483e-02,3.749999999999999445e-01
4.807999999999999829e+00,6.234198542562516959e-02,3.999999999999999112e-01
5.640999999999999126e+00,5.769543047130182983e-02,4.499999999999999001e-01
6.536999999999999922e+00,5.374478449323389501e-02,4.999999999999998890e-01
7.496999999999998998e+00,5.034087892387473923e-02,5.499999999999999334e-01
8.519999999999999574e+00,4.738426805152658183e-02,5.999999999999998668e-01
9.603999999999999204e+00,4.478798032078926128e-02,6.499999999999999112e-01
1.074899999999999878e+01,4.248985595580376945e-02,6.999999999999998446e-01
1.321699999999999875e+01,3.857695516111987050e-02,7.999999999999998224e-01
1.592099999999999937e+01,3.538458894079527656e-02,8.999999999999998002e-01
1.885799999999999699e+01,3.271400240448845559e-02,9.999999999999997780e-01
2.201599999999999824e+01,3.061470740241939437e-02,1.099999999999999867e+00
2.539499999999999602e+01,2.855289692972217547e-02,1.199999999999999734e+00
2.899999999999999645e+01,2.690089662466411263e-02,1.299999999999999822e+00
3.281700000000000017e+01,2.547247540158456211e-02,1.399999999999999689e+00
3.684199999999999875e+01,2.419312344928509911e-02,1.499999999999999778e+00
4.107099999999999795e+01,2.306282835566991068e-02,1.599999999999999645e+00
4.550399999999999778e+01,2.203191691327339302e-02,1.699999999999999734e+00
5.013699999999999335e+01,2.111278135856072338e-02,1.799999999999999600e+00
5.999099999999999255e+01,1.948570578311577955e-02,1.999999999999999556e+00
7.339899999999998670e+01,1.782137778449079113e-02,2.249999999999999556e+00
8.800099999999999056e+01,1.643032441708239602e-02,2.499999999999999556e+00
1.039999999999999858e+02,1.526284392560458072e-02,2.749999999999999556e+00
1.209999999999999858e+02,1.426924944928636106e-02,2.999999999999999556e+00
1.390000000000000000e+02,1.339986778066211935e-02,3.249999999999999556e+00
1.580000000000000000e+02,1.264226572335047476e-02,3.499999999999999112e+00
1.779999999999999716e+02,1.197533154357375423e-02,3.749999999999999112e+00
1.999999999999999716e+02,1.138043592671797791e-02,3.999999999999999112e+00
2.459999999999999716e+02,1.036328329253625655e-02,4.499999999999999112e+00
2.960000000000000000e+02,9.527462689795635972e-03,4.999999999999999112e+00
3.499999999999999432e+02,8.825775882936716041e-03,5.499999999999999112e+00
4.089999999999999432e+02,8.229656433433239077e-03,5.999999999999999112e+00
4.719999999999999432e+02,7.714265255133237117e-03,6.499999999999999112e+00
5.390000000000000000e+02,7.264696662168280451e-03,6.999999999999998224e+00
6.839999999999998863e+02,6.518317621895715515e-03,7.999999999999998224e+00
8.449999999999998863e+02,5.922213066907221039e-03,8.999999999999998224e+00
1.020999999999999886e+03,5.432914596436850922e-03,9.999999999999998224e+00
1.212000000000000000e+03,5.025580641913478946e-03,1.099999999999999822e+01
1.417999999999999773e+03,4.679100710769009894e-03,1.199999999999999822e+01
1.638999999999999773e+03,4.381054018717880222e-03,1.299999999999999822e+01
1.873999999999999773e+03,4.122748375058399133e-03,1.399999999999999645e+01
2.124000000000000000e+03,3.895489106669714537e-03,1.499999999999999645e+01
2.387000000000000000e+03,3.694310134014844923e-03,1.599999999999999645e+01
2.664999999999999545e+03,3.514242895137648353e-03,1.699999999999999645e+01
2.955999999999999545e+03,3.352802488455264730e-03,1.799999999999999645e+01
3.578999999999999545e+03,3.073390075856437514e-03,1.999999999999999645e+01
4.432000000000000000e+03,2.790251552092899278e-03,2.249999999999999645e+01
5.367999999999999091e+03,2.558030672521729477e-03,2.499999999999999645e+01
6.382999999999999091e+03,2.365548234802086498e-03,2.749999999999999289e+01
7.477999999999999091e+03,2.202869845682765230e-03,2.999999999999999289e+01
8.650000000000000000e+03,2.063786354230565633e-03,3.249999999999999289e+01
8.844000000000000000e+03,2.043916947123365201e-03,3.289999999999999147e+01
