# Range /cm, dE/dx /MeV / cm, Ion Energy /MeV
2.111999999999999655e+00,2.585285649003807862e-01,3.249999999999999556e-01
2.206999999999999851e+00,2.661803737305649120e-01,3.499999999999999223e-01
2.298999999999999932e+00,2.728444279755135038e-01,3.749999999999999445e-01
2.388999999999999790e+00,2.786441038676621962e-01,3.999999999999999112e-01
2.564999999999999947e+00,2.878953353650173241e-01,4.499999999999999001e-01
2.736999999999999655e+00,2.944265801847079644e-01,4.999999999999998890e-01
2.904999999999999805e+00,2.987314673774357221e-01,5.499999999999999334e-01
3.070999999999999730e+00,3.011806221243406023e-01,5.999999999999998668e-01
3.236999999999999211e+00,3.020207968902943740e-01,6.499999999999999112e-01
3.401999999999999691e+00,3.016236098241025787e-01,6.999999999999998446e-01
3.734999999999999876e+00,2.982311357949922193e-01,7.999999999999998224e-01
4.072999999999999510e+00,2.923648069482982503e-01,8.999999999999998002e-01
4.418999999999999595e+00,2.850149844093779472e-01,9.999999999999997780e-01
4.774999999999999467e+00,2.770490254340277625e-01,1.099999999999999867e+00
5.140999999999999126e+00,2.687141789709519002e-01,1.199999999999999734e+00
5.518999999999999240e+00,2.602579422107713647e-01,1.299999999999999822e+00
5.908999999999999808e+00,2.520519333022914199e-01,1.399999999999999689e+00
6.311999999999999389e+00,2.440960281245542485e-01,1.499999999999999778e+00
6.727999999999999758e+00,2.365138511519118136e-01,1.599999999999999645e+00
7.157999999999999474e+00,2.291810331842629167e-01,1.699999999999999734e+00
7.600999999999999091e+00,2.222216951797924278e-01,1.799999999999999600e+00
8.526999999999999247e+00,2.094223419717630985e-01,1.999999999999999556e+00
9.763999999999999346e+00,1.952574099817832864e-01,2.249999999999999556e+00
1.108699999999999974e+01,1.828331503093887922e-01,2.499999999999999556e+00
1.249799999999999933e+01,1.719002660100652502e-01,2.749999999999999556e+00
1.399499999999999922e+01,1.622102296892389828e-01,2.999999999999999556e+00
1.557799999999999940e+01,1.536385232016589386e-01,3.249999999999999556e+00
1.724699999999999989e+01,1.460607773472236970e-01,3.499999999999999112e+00
1.900000000000000000e+01,1.392285392039346037e-01,3.749999999999999112e+00
2.083699999999999974e+01,1.330175636926484717e-01,3.999999999999999112e+00
2.475999999999999801e+01,1.222107366384575650e-01,4.499999999999999112e+00
2.901199999999999690e+01,1.131679911145656720e-01,4.999999999999999112e+00
3.358999999999999631e+01,1.054544817560677805e-01,5.499999999999999112e+00
3.848899999999999721e+01,9.879689421304066466e-02,5.999999999999999112e+00
4.370599999999999596e+01,9.299641153466373100e-02,6.499999999999999112e+00
4.923799999999999244e+01,8.787914025851989441e-02,6.999999999999998224e+00
6.122199999999999420e+01,7.927182346803654522e-02,7.999999999999998224e+00
7.439099999999999113e+01,7.277576693999129875e-02,8.999999999999998224e+00
